model	axis	mode	subsample_idx	n_d_prompts	n_s_prompts	n_d_rows	n_s_rows	pca_cap	raw_acc	bal_acc	auc	null_bal_q95	null_auc_q95	separable
gemma	HN	matched	0	5	15	40	120	20	0.75	0.7666666666666666	0.64	0.6216666666666664	0.7929999999999998	True
gemma	HN	matched	1	5	15	40	120	20	0.85	0.8333333333333334	0.7333333333333334	0.6000000000000001	0.7066666666666667	True
gemma	HN	matched	2	5	15	40	120	20	0.95	0.9	1.0	0.6666666666666667	0.7093333333333333	True
gemma	HN	matched	3	5	15	40	120	20	0.8	0.7333333333333334	0.7000000000000001	0.6849999999999999	0.7893333333333332	True
gemma	HN	matched	4	5	15	40	120	20	0.7	0.6000000000000001	0.43999999999999995	0.6000000000000001	0.7726666666666663	False
gemma	HN	matched	5	5	15	40	120	20	0.75	0.7	0.6400000000000001	0.6516666666666666	0.7463333333333332	True
gemma	HN	matched	6	5	15	40	120	20	0.9	0.8	0.8200000000000001	0.6666666666666667	0.856333333333333	True
gemma	HN	matched	7	5	15	40	120	20	0.8	0.8	0.8200000000000001	0.6699999999999998	0.8376666666666666	True
gemma	HN	matched	8	5	15	40	120	20	0.75	0.7	0.52	0.6666666666666667	0.7799999999999997	True
gemma	HN	matched	9	5	15	40	120	20	0.75	0.7	0.5800000000000001	0.5849999999999999	0.6339999999999999	True
gemma	HN	matched	10	5	15	40	120	20	0.85	0.7666666666666666	0.7600000000000001	0.6366666666666666	0.7466666666666668	True
gemma	HN	matched	11	5	15	40	120	20	0.85	0.8333333333333334	0.88	0.6516666666666666	0.7406666666666667	True
gemma	HN	matched	12	5	15	40	120	20	0.9	0.8666666666666667	0.9400000000000001	0.6516666666666666	0.8063333333333332	True
gemma	HN	matched	13	5	15	40	120	20	0.65	0.5666666666666667	0.5333333333333333	0.6516666666666666	0.7249999999999999	False
gemma	HN	matched	14	5	15	40	120	20	0.9	0.8666666666666667	0.7600000000000001	0.7	0.7776666666666663	True
gemma	HN	matched	15	5	15	40	120	20	0.95	0.9	1.0	0.6	0.7673333333333333	True
gemma	HN	matched	16	5	15	40	120	20	0.95	0.9	0.9866666666666667	0.6516666666666665	0.748	True
gemma	HN	matched	17	5	15	40	120	20	0.85	0.8333333333333334	0.7000000000000001	0.6849999999999999	0.8546666666666667	True
gemma	HN	matched	18	5	15	40	120	20	0.9	0.8666666666666667	0.9400000000000001	0.6516666666666666	0.7396666666666665	True
gemma	HN	matched	19	5	15	40	120	20	0.95	0.9	1.0	0.6666666666666667	0.76	True
gemma	LN	full	0	5	15	40	120	20	0.7	0.6666666666666666	0.5333333333333333	0.6849999999999998	0.7069999999999999	False
qwen	HN	matched	0	5	15	40	120	20	0.95	0.9	1.0	0.6549999999999997	0.8266666666666668	True
qwen	HN	matched	1	5	15	40	120	20	0.95	0.9	1.0	0.6	0.8779999999999998	True
qwen	HN	matched	2	5	15	40	120	20	1.0	1.0	1.0	0.6	0.7333333333333334	True
qwen	HN	matched	3	5	15	38	120	20	0.6012658227848101	0.4587719298245614	0.45877192982456144	0.7478639356655309	0.8162199116934907	False
qwen	HN	matched	4	5	15	40	120	20	0.95	0.9	1.0	0.6366666666666665	0.754	True
qwen	HN	matched	5	5	15	40	120	20	1.0	1.0	1.0	0.6516666666666666	0.7213333333333333	True
qwen	HN	matched	6	5	15	39	120	20	0.5031446540880503	0.5410256410256411	0.5623931623931624	0.6323949579831932	0.7173109243697477	False
qwen	HN	matched	7	5	15	39	120	20	0.6540880503144654	0.5717948717948718	0.5965811965811967	0.7076923076923077	0.713459024635495	False
qwen	HN	matched	8	5	15	40	120	20	1.0	1.0	1.0	0.6	0.7299999999999999	True
qwen	HN	matched	9	5	15	39	120	20	0.5031446540880503	0.4025641025641026	0.29743589743589743	0.6891047188106011	0.7132773109243697	False
qwen	HN	matched	10	5	15	38	120	20	0.6455696202531646	0.6947368421052631	0.6947368421052632	0.6008474576271186	0.6775	True
qwen	HN	matched	11	5	15	40	120	20	0.95	0.9	1.0	0.6366666666666665	0.8473333333333334	True
qwen	HN	matched	12	5	15	39	120	20	0.8490566037735849	0.7615384615384615	0.7555555555555555	0.6323949579831932	0.6746448322918912	True
qwen	HN	matched	13	5	15	39	120	20	0.6540880503144654	0.5717948717948718	0.5282051282051283	0.6820534367593191	0.7945378151260503	False
qwen	HN	matched	14	5	15	39	120	20	0.7547169811320755	0.7076923076923077	0.6769230769230768	0.6171848739495798	0.6549579831932772	True
qwen	HN	matched	15	5	15	40	120	20	1.0	1.0	1.0	0.5666666666666667	0.799333333333333	True
qwen	HN	matched	16	5	15	39	120	20	0.6037735849056604	0.6076923076923078	0.641025641025641	0.6983839689722042	0.7454621848739496	False
qwen	HN	matched	17	5	15	40	120	20	1.0	1.0	1.0	0.7	0.874	True
qwen	HN	matched	18	5	15	40	120	20	0.95	0.9	1.0	0.6	0.7493333333333332	True
qwen	HN	matched	19	5	15	40	120	20	0.95	0.9	1.0	0.6366666666666665	0.8413333333333333	True
qwen	LN	full	0	5	15	39	119	20	0.5443037974683544	0.5595776772247361	0.5595776772247361	0.649364406779661	0.6493644067796609	False
ministral	HN	matched	0	5	15	37	111	20	0.5945945945945946	0.5855855855855856	0.5855855855855856	0.7174925454741968	0.7174925454741967	False
ministral	HN	matched	1	5	15	37	114	20	0.6026490066225165	0.6638217164532954	0.6638217164532954	0.7052234299516907	0.7052234299516907	False
ministral	HN	matched	2	5	15	40	112	20	0.3026315789473684	0.33392857142857146	0.33392857142857146	0.6688034557043155	0.6688034557043157	False
ministral	HN	matched	3	5	15	36	112	20	0.3716216216216216	0.32093253968253965	0.32093253968253965	0.6515550239234448	0.6515550239234448	False
ministral	HN	matched	4	5	15	36	114	20	0.21333333333333335	0.14035087719298245	0.14035087719298245	0.6232509687352198	0.6232509687352199	False
ministral	HN	matched	5	5	15	40	112	20	0.5986842105263158	0.6633928571428571	0.6633928571428571	0.7611842105263158	0.7611842105263158	False
ministral	HN	matched	6	5	15	36	113	20	0.4429530201342282	0.4907817109144543	0.4907817109144543	0.6591258551784867	0.6591258551784867	False
ministral	HN	matched	7	5	15	37	114	20	0.40397350993377484	0.38620199146514933	0.38620199146514933	0.6200182101339088	0.6200182101339087	False
ministral	HN	matched	8	5	15	39	112	20	0.3443708609271523	0.42433608058608063	0.4243360805860806	0.6667117117117117	0.6667117117117117	False
ministral	HN	matched	9	5	15	39	111	20	0.6333333333333333	0.6191961191961193	0.6191961191961193	0.6654780416951468	0.6654780416951468	False
ministral	HN	matched	10	5	15	35	113	20	0.4864864864864865	0.515802781289507	0.515802781289507	0.6229904904904905	0.6229904904904905	False
ministral	HN	matched	11	5	15	40	113	20	0.33986928104575165	0.23008849557522124	0.23008849557522126	0.694535587323198	0.694535587323198	False
ministral	HN	matched	12	5	15	39	112	20	0.5033112582781457	0.5314789377289377	0.5314789377289377	0.6479073638856246	0.6479073638856248	False
ministral	HN	matched	13	5	15	36	112	20	0.25	0.30654761904761907	0.30654761904761907	0.664188378417012	0.6641883784170118	False
ministral	HN	matched	14	5	15	37	111	20	0.581081081081081	0.5765765765765766	0.5765765765765766	0.7526443854568853	0.7526443854568853	False
ministral	HN	matched	15	5	15	40	112	20	0.6513157894736842	0.6991071428571429	0.6991071428571428	0.7147360174820127	0.7147360174820127	False
ministral	HN	matched	16	5	15	37	114	20	0.5033112582781457	0.5980322427690848	0.5980322427690848	0.5897676204383236	0.5897676204383236	True
ministral	HN	matched	17	5	15	37	113	20	0.52	0.3905764171250897	0.39057641712508967	0.6293823248026787	0.6293823248026787	False
ministral	HN	matched	18	5	15	40	111	20	0.4105960264900662	0.4072072072072072	0.4486486486486487	0.669757326007326	0.6697573260073261	False
ministral	HN	matched	19	5	15	40	112	20	0.1513157894736842	0.10267857142857142	0.10267857142857145	0.6609187030075188	0.6609187030075188	False
ministral	LN	full	0	5	15	37	113	20	0.6466666666666666	0.6382444391293949	0.6382444391293948	0.6567551691729323	0.6567551691729323	False
gpt_oss_20b	HN	matched	0	5	15	40	120	20	0.9	0.9333333333333333	0.88	0.5699999999999998	0.6589999999999998	True
gpt_oss_20b	HN	matched	1	5	15	40	120	20	0.7	0.6000000000000001	0.5800000000000001	0.6666666666666666	0.6983333333333333	False
gpt_oss_20b	HN	matched	2	5	15	40	120	20	0.5	0.6000000000000001	0.6000000000000001	0.6699999999999998	0.716333333333333	False
gpt_oss_20b	HN	matched	3	5	15	40	120	20	0.7	0.6000000000000001	0.68	0.6666666666666667	0.7939999999999999	False
gpt_oss_20b	HN	matched	4	5	15	40	120	20	0.75	0.7666666666666666	0.72	0.7	0.7093333333333331	True
gpt_oss_20b	HN	matched	5	5	15	40	120	20	0.8	0.7333333333333334	0.7333333333333334	0.6183333333333333	0.6606666666666666	True
gpt_oss_20b	HN	matched	6	5	15	40	120	20	0.8	0.6666666666666667	0.7866666666666666	0.688333333333333	0.6886666666666666	False
gpt_oss_20b	HN	matched	7	5	15	40	120	20	0.75	0.6333333333333333	0.72	0.7	0.754	False
gpt_oss_20b	HN	matched	8	5	15	40	120	20	0.75	0.7666666666666666	0.7866666666666667	0.6183333333333333	0.7759999999999998	True
gpt_oss_20b	HN	matched	9	5	15	40	120	20	0.7	0.6666666666666666	0.5333333333333333	0.6666666666666666	0.7033333333333333	False
gpt_oss_20b	HN	matched	10	5	15	40	120	20	0.95	0.9	0.8200000000000001	0.6333333333333333	0.6996666666666664	True
gpt_oss_20b	HN	matched	11	5	15	40	120	20	0.65	0.5666666666666667	0.5333333333333333	0.6333333333333333	0.7143333333333332	False
gpt_oss_20b	HN	matched	12	5	15	40	120	20	0.8	0.8	0.8400000000000001	0.6183333333333332	0.6583333333333332	True
gpt_oss_20b	HN	matched	13	5	15	40	120	20	0.55	0.43333333333333335	0.44	0.6000000000000001	0.7273333333333334	False
gpt_oss_20b	HN	matched	14	5	15	40	120	20	0.8	0.6666666666666667	0.7066666666666668	0.6183333333333333	0.677	True
gpt_oss_20b	HN	matched	15	5	15	40	120	20	0.8	0.7333333333333334	0.7333333333333334	0.6	0.7279999999999995	True
gpt_oss_20b	HN	matched	16	5	15	40	120	20	0.7	0.6666666666666666	0.6266666666666667	0.6849999999999999	0.7376666666666666	False
gpt_oss_20b	HN	matched	17	5	15	40	120	20	0.85	0.7666666666666666	0.7600000000000001	0.6183333333333333	0.6886666666666665	True
gpt_oss_20b	HN	matched	18	5	15	40	120	20	0.6	0.4666666666666667	0.5333333333333333	0.6666666666666667	0.8176666666666663	False
gpt_oss_20b	HN	matched	19	5	15	40	120	20	0.9	0.8	0.9866666666666667	0.6666666666666667	0.7999999999999999	True
gpt_oss_20b	LN	full	0	5	15	40	120	20	0.45	0.5	0.5	0.7333333333333334	0.7516666666666666	False
granite	HN	matched	0	5	15	39	109	20	0.527027027027027	0.48129851799576573	0.4812985179957657	0.653827427602174	0.653827427602174	False
granite	HN	matched	1	5	15	39	109	20	0.6418918918918919	0.6333803810868031	0.6333803810868031	0.8164601769911504	0.8164601769911504	False
granite	HN	matched	2	5	15	40	108	20	0.5945945945945946	0.5333333333333333	0.5333333333333333	0.6440878917194707	0.6466764590677634	False
granite	HN	matched	3	5	15	39	107	20	0.3972602739726027	0.4584231967409538	0.4584231967409538	0.668417623857905	0.6684176238579052	False
granite	HN	matched	4	5	15	39	112	20	0.39072847682119205	0.26339285714285715	0.26339285714285715	0.6570563577084302	0.6758965999068467	False
granite	HN	matched	5	5	15	39	107	20	0.5342465753424658	0.5600287562904385	0.5600287562904386	0.6880563264641116	0.6880563264641115	False
granite	HN	matched	6	5	15	40	107	20	0.6258503401360545	0.6177570093457944	0.6177570093457945	0.733941840367875	0.733941840367875	False
granite	HN	matched	7	5	15	40	110	20	0.49333333333333335	0.4636363636363636	0.48	0.6378884695496536	0.6378884695496535	False
granite	HN	matched	8	5	15	40	108	20	0.5337837837837838	0.4287037037037037	0.4287037037037037	0.6265873015873012	0.6265873015873012	False
granite	HN	matched	9	5	15	40	109	20	0.5234899328859061	0.4211009174311927	0.4211009174311926	0.6714728988716651	0.6694409853038451	False
granite	HN	matched	10	5	15	39	112	20	0.5960264900662252	0.5271291208791209	0.5271291208791209	0.667855464159812	0.667855464159812	False
granite	HN	matched	11	5	15	39	109	20	0.4527027027027027	0.4390731592566455	0.4390731592566454	0.6690067043048694	0.6690067043048693	False
granite	HN	matched	12	5	15	40	107	20	0.5374149659863946	0.5570093457943925	0.5570093457943925	0.6447474397474396	0.6548020456353787	False
granite	HN	matched	13	5	15	40	107	20	0.5238095238095238	0.5476635514018692	0.5476635514018693	0.7815366972477062	0.7815366972477062	False
granite	HN	matched	14	5	15	40	107	20	0.5374149659863946	0.5570093457943925	0.5570093457943925	0.7390755372945638	0.7390755372945638	False
granite	HN	matched	15	5	15	38	109	20	0.7210884353741497	0.7433606953162724	0.690246257846451	0.6416418287446325	0.6471091184642587	True
granite	HN	matched	16	5	15	39	107	20	0.3698630136986301	0.2523364485981308	0.25233644859813087	0.7698792016806721	0.7698792016806723	False
granite	HN	matched	17	5	15	40	110	20	0.5533333333333333	0.5045454545454546	0.5045454545454546	0.6591400375939849	0.6591400375939849	False
granite	HN	matched	18	5	15	39	108	20	0.4897959183673469	0.5217236467236468	0.5217236467236468	0.6354290446170299	0.6572244434717076	False
granite	HN	matched	19	5	15	39	107	20	0.2808219178082192	0.25676971004073806	0.2567697100407381	0.7617253812020851	0.7721245408659506	False
granite	LN	full	0	5	15	34	94	20	0.484375	0.40488110137672095	0.40488110137672095	0.6879850635906536	0.6879850635906535	False
